41.9937	704.564	49
621.985	561.664	105
84.861	289.344	31
781.464	456.109	98
940.299	819.631	7
342.858	475.967	22
557.994	538.876	30
903.211	406.639	140
916.858	945.141	8
454.52	124.004	20
426.405	720.805	48
96.5228	840.47	84
758.367	840.544	35
562.243	632.563	108
55.9638	427.391	59
897.404	934.931	8
769.371	870.503	35
687.868	31.2815	17
655.89	996.964	79
424.09	406.69	107
897.677	458.06	135
647.517	97.9308	112
402.039	691.635	48
446.878	331.22	83
435.326	19.8746	119
560.439	132.095	103
497.746	834.851	143
617.211	707.356	117
555.952	421.547	113
397.965	825.012	80
62.8482	423.051	59
380.297	181.819	6
602.769	444.291	122
490.654	824.914	77
843.434	430.293	19
336.804	480.416	22
175.369	962.01	25
562.785	266.811	18
839.373	43.0232	70
572.457	553.967	30
207.875	893.077	141
321.295	703.353	129
869.514	86.1685	93
364.243	1023.05	33
669.708	796.75	40
867.636	900.603	21
771.512	845.875	35
220.532	235.136	64
402.271	707.185	48
722.826	778.047	68
933.061	1023.85	88
780.901	842.684	35
963.576	152.822	101
485.854	568.524	29
650.649	522.519	130
404.691	694.912	48
119.96	273.327	72
813.579	347.886	100
23.543	91.2051	5
838.203	189.492	61
451.055	31.1283	67
773.34	512.913	86
460.016	605.713	29
67.1959	681.085	71
550.989	863.642	42
894.576	454.352	135
271.085	688.619	92
656.126	908.618	57
111.806	263.412	72
912.812	947.698	8
915.212	207.286	76
802.107	843.342	102
873.26	900.753	21
22.0467	85.2973	5
257.984	497.607	62
671.773	1007.04	79
102.11	856.558	84
527.261	344.45	55
552.485	286.249	18
149.229	769.678	90
848.462	232.334	89
3.39901	300.733	56
216.934	639.762	115
410.524	701.081	48
186.033	485.486	51
200.338	847.637	9
645.714	516.728	130
633.846	442.587	28
631.881	985.611	106
569.527	380.705	55
1043.78	297.771	85
356.468	998.598	33
883.838	453.374	135
403.691	822.132	91
391.569	841.844	80
609.585	707.785	117
860.752	193.066	126
823.299	431.272	19
565.82	859.604	42
652.401	581.285	114
557.847	844.59	42
252.611	899.102	110
525.255	810.544	144
585.158	180.717	65
593.882	473.107	139
911.854	412.608	140
178.975	993.77	11
97.7554	639.042	4
644.646	71.1282	120
519.908	828.826	144
42.8525	857.989	23
556.178	226.913	43
929.821	220.713	69
634.44	84.0909	95
196.514	877.916	141
561.52	605.134	81
888.658	682.19	13
962.355	142.293	101
561.339	548.139	30
803.783	577.731	1
883.345	879.371	21
634.344	82.8403	95
58.8951	652.826	4
878.337	379.517	60
545.704	416.209	113
927.589	832.209	7
470.912	825.329	77
752.901	531.886	86
654.187	558.516	105
920.273	460.643	128
608.717	338.636	26
22.3226	88.2824	5
239.963	297.162	16
781.413	857.38	35
77.4127	693.733	71
50.795	888.367	23
471.399	835.421	38
476.373	824.984	77
482.276	835.208	77
878.794	706.538	111
382.186	307.131	27
15.6471	296.639	56
209.627	903.355	141
771.959	392.038	50
966.93	151.994	101
837.116	10.7089	70
297.949	453.349	44
440.37	209.797	53
38.5229	88.945	5
357.133	283.3	27
411.64	641.951	131
41.9725	865.07	23
90.087	297.708	31
49.0614	80.4933	37
351.321	471.915	22
459.43	43.8753	67
742.682	520.657	86
293.273	502.001	127
713.93	769.272	68
756.385	121.943	32
78.3213	650.641	4
289.986	512.991	24
648.136	917.288	57
762.35	385.827	50
816.129	849.56	102
881.129	83.1669	93
413.138	162.82	94
668.909	695.47	121
599.29	674.145	66
39.3435	63.5279	37
173.404	998.175	11
634.842	701.231	117
187.338	858.926	9
884.425	394.788	60
741.83	223.679	97
603.814	690.484	12
208.277	201.873	36
52.9533	475.129	123
834.705	448.757	19
638.027	713.721	117
863.196	191.432	126
367.592	175.445	10
587.267	177.76	65
651.371	901.331	57
298.031	513.759	24
985.635	661.674	14
659.564	1005.19	79
195.472	177.441	54
742.617	384.576	50
286.775	585.178	45
694.949	12.3507	17
561.118	211.212	43
870.78	1024.9	125
597.488	669.131	66
606.209	743.716	145
279.263	497.885	24
272.633	517.58	24
529.22	110.728	3
422.401	609.415	131
315.159	39.0676	109
875.715	721.868	111
187.49	840.547	9
661.926	97.5504	112
551.814	206.574	43
519.939	246.435	118
638.484	77.8858	95
