389.368	477.392	CLUSTER_135
1019.16	946.196	CLUSTER_80
677.454	580.276	CLUSTER_68
995.369	128.974	CLUSTER_97
495.428	121.432	CLUSTER_6
787.685	896.533	CLUSTER_133
939.244	914.517	CLUSTER_58
785.479	115.563	CLUSTER_11
405.921	551.695	CLUSTER_32
190.238	800.158	CLUSTER_125
631.433	254.69	CLUSTER_14
825.516	591.454	CLUSTER_82
347.613	552.219	CLUSTER_22
476.685	1005.09	CLUSTER_110
618.843	940.774	CLUSTER_13
33.4891	211.187	CLUSTER_88
640.907	238.652	CLUSTER_14
439.583	267.074	CLUSTER_104
464.614	746.516	CLUSTER_67
660.69	936.243	CLUSTER_19
231.96	911.448	CLUSTER_41
633.257	323.308	CLUSTER_105
628.071	318.655	CLUSTER_105
535.24	247.4	CLUSTER_27
764.587	140.598	CLUSTER_115
657.207	950.53	CLUSTER_19
244.127	822.619	CLUSTER_31
615.773	465.161	CLUSTER_21
488.611	660.219	CLUSTER_65
842.347	584.374	CLUSTER_82
530.054	665.317	CLUSTER_7
136.895	932.402	CLUSTER_100
334.989	245.267	CLUSTER_20
527.615	894.746	CLUSTER_59
569.7	24.9121	CLUSTER_103
220.978	458.406	CLUSTER_77
328.535	119.785	CLUSTER_62
834.002	967.903	CLUSTER_55
457.136	540.931	CLUSTER_102
385.666	874.584	CLUSTER_116
484.668	862.001	CLUSTER_63
92.4163	388.694	CLUSTER_40
103.016	804.991	CLUSTER_118
999.653	952.363	CLUSTER_52
289.011	393.397	CLUSTER_54
929.482	727.75	CLUSTER_47
464.283	997.133	CLUSTER_110
582.142	18.7153	CLUSTER_103
283.515	635.691	CLUSTER_95
621.825	569.279	CLUSTER_109
63.3561	306.42	CLUSTER_30
165.183	693.684	CLUSTER_107
70.7285	309.017	CLUSTER_30
445.892	258.416	CLUSTER_104
626.677	561.942	CLUSTER_109
506.482	110.8	CLUSTER_6
955.064	313.475	CLUSTER_87
569.662	413.406	CLUSTER_2
347.93	633.261	CLUSTER_18
35.0679	586.623	CLUSTER_108
727.304	369.707	CLUSTER_112
397.86	489.427	CLUSTER_135
480.794	111.182	CLUSTER_6
560.6	836.483	CLUSTER_75
215.743	910.362	CLUSTER_41
960.632	302.07	CLUSTER_87
624.021	319.651	CLUSTER_105
1016.15	289.835	CLUSTER_96
313.916	329.986	CLUSTER_76
45.2862	311.204	CLUSTER_30
167.716	928.325	CLUSTER_28
258.331	465.224	CLUSTER_60
915.044	904.032	CLUSTER_78
206.929	510.388	CLUSTER_106
992.694	929.139	CLUSTER_52
571.339	931.693	CLUSTER_42
948.735	883.262	CLUSTER_58
609.739	329.161	CLUSTER_105
112.145	438.503	CLUSTER_33
725.09	403.182	CLUSTER_81
923.723	991.654	CLUSTER_121
361.034	120.751	CLUSTER_3
945.856	233.966	CLUSTER_43
252.77	832.097	CLUSTER_31
425.173	946.589	CLUSTER_89
457.139	744.717	CLUSTER_67
229.829	873.672	CLUSTER_72
230.708	508.29	CLUSTER_124
37.0544	29.3914	CLUSTER_71
876.339	331.228	CLUSTER_91
93.8825	611.938	CLUSTER_119
652.663	458.823	CLUSTER_23
729.435	148.296	CLUSTER_134
372.548	502.07	CLUSTER_135
440.087	276.677	CLUSTER_104
574.384	824.557	CLUSTER_75
54.1013	237.17	CLUSTER_99
148.731	956.826	CLUSTER_28
997.124	839.851	CLUSTER_53
276.32	642.886	CLUSTER_95
723.796	140.755	CLUSTER_134
966.158	459.659	CLUSTER_34
606.311	162.553	CLUSTER_17
505.709	657.586	CLUSTER_65
795.613	102.943	CLUSTER_11
610.913	530.649	CLUSTER_5
679.577	473.008	CLUSTER_126
875.448	360.382	CLUSTER_91
602.928	465.615	CLUSTER_21
185.854	462.604	CLUSTER_128
444.833	262.599	CLUSTER_104
194.384	508.292	CLUSTER_106
333.748	893.988	CLUSTER_127
1006.73	243.714	CLUSTER_69
688.124	932.585	CLUSTER_19
672.73	448.517	CLUSTER_23
777.058	901.748	CLUSTER_133
988.396	255.284	CLUSTER_69
565.409	369.22	CLUSTER_114
989.258	826.617	CLUSTER_53
419.921	303.349	CLUSTER_120
829.96	148.855	CLUSTER_83
479.265	566.544	CLUSTER_102
612.644	922.542	CLUSTER_13
301.012	343.556	CLUSTER_76
227.927	701.471	CLUSTER_66
820.137	73.1733	CLUSTER_16
1005.46	307.907	CLUSTER_96
53.0225	309.424	CLUSTER_30
940.353	38.2071	CLUSTER_8
645.72	178.82	CLUSTER_10
423.941	935.994	CLUSTER_89
960.738	461.882	CLUSTER_34
557.248	344.43	CLUSTER_114
448.438	87.4978	CLUSTER_26
